,Id,Name,Location,Rating,Price,Zipcode,Transactions,Review Count,Categories
17,yA29ur97O7B6kYr1g5IoAw,Aroy Dee Thai Kitchen,20 John St,3.5,$$,10038,"['delivery', 'pickup']",404,"[{'alias': 'thai', 'title': 'Thai'}]"
18,hA5QUlrSjpxMZ90Kof0bgA,Khao Kang,7620 Woodside Ave,4.0,$,11373,"['delivery', 'pickup']",244,"[{'alias': 'thai', 'title': 'Thai'}]"
19,3GMHPnrkFAcqffw3T7JSdQ,Kitchen 79,37-70 79th St,4.5,$$,11372,"['delivery', 'pickup']",629,"[{'alias': 'thai', 'title': 'Thai'}]"
20,OuHB-EdeXmQ26QDzAsDxyw,Thai on Clinton,168 Montague St,4.5,$,11201,[],23,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'thai', 'title': 'Thai'}]"
21,a23bfZBVjIhV32Em4hKHAA,The Buffs,1313 40th Ave,4.5,$$,11101,"['delivery', 'pickup']",106,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'noodles', 'title': 'Noodles'}, {'alias': 'ramen', 'title': 'Ramen'}]"
22,cugwo9ncnGnH_Chu-P-iAw,Am Thai Bistro,1003 Church Ave,4.0,$$,11218,"['delivery', 'pickup']",545,"[{'alias': 'thai', 'title': 'Thai'}]"
23,e64Y17DJgjotSz8B9gEI7Q,Ugly Baby,407 Smith St,4.5,$$,11231,['delivery'],352,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'bars', 'title': 'Bars'}]"
24,uazg6WhYVOw3jhWCG_MDBg,Sup Thai Kitchen,178-19 Union Tpke,4.5,$$,11366,"['delivery', 'pickup']",374,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'noodles', 'title': 'Noodles'}]"
25,IGjdEM0s4WfOYrMSzO6q9Q,KROK Brooklyn,117 Columbia St,4.5,$$,11231,"['delivery', 'pickup']",73,"[{'alias': 'thai', 'title': 'Thai'}]"
26,jKDXlyPG-2rmcp9Ej6jPLA,Living Thai,931 Amsterdam Ave,4.0,$$,10025,"['delivery', 'pickup']",111,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'soup', 'title': 'Soup'}]"
27,BKMCAYb9EAivUm3p-vrC9w,Khe-Yo,157 Duane St,4.0,$$,10013,"['delivery', 'pickup']",779,"[{'alias': 'laotian', 'title': 'Laotian'}]"
28,fcCF0Kh_RCbv6KSVlb-Seg,Sticky Rice,85 Orchard St,4.0,$$,10002,"['delivery', 'pickup']",377,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]"
29,rehmlZmUNL2AthW-VTXJJQ,Tasty Thai,72-04 Forest Ave,4.0,$,11385,"['delivery', 'pickup']",87,"[{'alias': 'thai', 'title': 'Thai'}]"
30,e1jwvzY8hU642HSBZZATcw,Hub Thai,105 Avenue A,4.0,$$,10009,"['delivery', 'pickup']",121,"[{'alias': 'thai', 'title': 'Thai'}]"
31,qn9dgCRGNjHKDGilBamkiw,Noodlefan,1809 Victory Blvd,4.0,$$,10314,"['delivery', 'pickup']",147,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'noodles', 'title': 'Noodles'}]"
32,jg5nc64wLYKwKAvz_lfMuA,Thai At Lex,1244 Lexington Ave,3.5,$$,10028,"['delivery', 'pickup']",183,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'noodles', 'title': 'Noodles'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]"
33,0fjab0vzFgIQ-FKzjFR7JQ,Dannee Thai,433 Dekalb Ave,4.0,$$,11205,"['delivery', 'pickup']",155,"[{'alias': 'thai', 'title': 'Thai'}]"
34,T4xmuPYBmMhF48bfi9rkfA,Pro Thai,1575 Lexington Ave,3.5,$$,10029,"['delivery', 'pickup']",200,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'noodles', 'title': 'Noodles'}, {'alias': 'comfortfood', 'title': 'Comfort Food'}]"
35,R7mKCkD9ZZfeec92GW7esQ,Bangkok 2 Thai,349 1st Ave,4.0,$$,10010,"['delivery', 'pickup']",199,"[{'alias': 'thai', 'title': 'Thai'}]"
36,QVWmn5jmy_TPmg0G71Dk5g,Sea,114 N 6th St,3.5,$$,11211,"['delivery', 'pickup']",3140,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]"
37,EbX_9tqAJs4gW51gZpOB7g,Rasa,25 W 8th St,4.0,$$,10011,"['delivery', 'restaurant_reservation', 'pickup']",734,"[{'alias': 'malaysian', 'title': 'Malaysian'}, {'alias': 'thai', 'title': 'Thai'}, {'alias': 'halal', 'title': 'Halal'}]"
